name,email,phone,address
Pier One Bar And Grill,cat@pierone.com.ph,nan,"Parkmall, 168 Duano Avenue, North Reclamation Area, Mandaue City, Cebu"
Innotec Asia,admin.cebu@innotec.ph,+63 (917) 654 5820,"1C G/F, J&M Centre, North Road, , Labogon, , Mandaue City 6000 Cebu"
Infovision Research Systems,info@infovisionresearch.com,nan,"Unit 407 Tulips Center, A.S. Fortuna Street, Bakilid, Mandaue City, Cebu"
Ilabels Unlimited,ilabels.nyc@gmail.com,nan,"Lopez Jaena Street, W2 Carvajal Compound, Mandaue City, Cebu"
Ideaz Solutions & Advertising,info.ideazcebu@gmail.com,nan,"Chua Tiam Building, A Del Rosario Street, Mandaue City, Cebu"
Iddante Builders,iddantebldrs@gmail.com,nan,"- Mendoza Property Bldg, - Albano St, -, Maguikay, Mandaue City 6014 Cebu"
Hyundai,hyundai.cebu@gmail.com,nan,"21 A.S. Fortuna Street, Mandaue City 6014 Cebu"
House Of Paws Pet Shop,houseofpawspetshop@gmail.com,+63 (917) 427 5291,"104 Socorro C. Estenzo Bldg., ML Quezon Avenue, Cabancalan, Mandaue City 6014 Cebu"
Hireplicity,info@hireplicity.com,nan,"8/F, 2-804 to 2-805 Oakridge Business Park A.S. Fortuna Street, Banilad, Mandaue City, Cebu"
Hilton Motors,hiltonyard@yahoo.com,+63 (922) 777 0707,"A.C Cortez Avenue, Cambaro, Mandaue City 6014 Cebu"
Hilton Motors,hilton_motors@yahoo.com,+63 (922) 882 2160,"597 Lopez Jaena Street, Subangdaku, Mandaue City 6014 Cebu"
High Land Trading,cebu@highland-trading.net,nan,"A.S. Fortuna Street, Bakilid, Mandaue City, Cebu"
Hi-safety Industrial Supplies,sales@hisafetywear.com,nan,"Unit 20 Greenhills Products Warehouse, Ceniza corner M.L. Quezon Streets, Casuntingan, Mandaue City, Cebu"
Hemisphere Travel And Tours,hemispheretraveltours.parkmall@gmail.com,nan,"2/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Heldred Export,info@heldredexport.com.ph,nan,"1206-A H. Abellana Street, Mandaue City, Cebu"
Health Funatics,info@healthfunatics.com,+63 (947) 893 6560,"5/F M1 Business Center, Ouano Ave., NRA, Subangdako, Mandaue City 6014 Cebu"
Hdp Printing,hdpprinting2007@gmail.com,+63 (917) 791 9608,"AE Building, 3 Velasquez Street, Sabungdaku, Mandaue City, Cebu"
