name,email,phone,address
Neo Travellers,neotravellers@yahoo.com,+63 (32) 232 4933,"2/F Gaisano Country Mall, Banilad, Cebu City 6000 Cebu"
Nje Travel & Tours Services,njetourstravel@yahoo.com,+63 (32) 516 8099,"40 V. Gullas Street, Cebu City 6000 Cebu"
Land And Sky Travel,landskydavao@landskytravel.com,+63 (82) 299 4137,"Rm. 215 Oroderm City, C.M. Recto Street, Davao City 8000 Davao Del Sur"
Joyfulhearts Travel And Tours,joyfulhearts_traveltours@yahoo.com,+63 (32) 416 8652,"R.R. Landon Corner Jakosalem Streets, Cebu City 6000 Cebu"
Regatta Tours,jhules_9@yahoo.com,+63 (88) 309 1204,"Mb 04, Biz Depot Pelaez Arcade 3, Tirso Neri Street, Cagayan De Oro City, Misamis Oriental"
Mtv Travel Consultancy,mtvtravelconsultancy@yahoo.com,+63 (32) 254 0457,"Door 1 Eddies Hotel, F. Manalo Street Corner Quezon Road, Cebu City 6000 Cebu"
Worldwide Travel & Tours,wwd@pacific.net.ph,+63 (917) 622 1680,"105-A F. Ramos Street, Cebu City 6000 Cebu"
Golden Jc Holiday Travel,goldenjcholiday@yahoo.com,+63 (32) 231 0200,"272 Ayala Center Cebu Business Park, Cebu City 6000 Cebu"
Essenes Pensione,myrafloryu@yahoo.com,+63 (32) 412 9036,"12 P. Jones Avenue, Cebu City 6000 Cebu"
Wow Travel And More,wowtraveltoursemall@gmail.com,+63 (917) 625 8026,"3/F Robinsons Place Cebu, Fuente Osmena Corner General Maxilom Avenue, Barangay Santa Cruz, Cebu City 6000 Cebu"
Divaishnavi Travel & Tours,divaishnavi@pldtdsl.net,+63 (32) 255 1208,"Suite 1c Yusing Bldg, 105 F. Ramos St, Cebu City 6000 Cebu"
American Express,callcenter@bdo.com.ph,+63 (2) 8 631 8000,"29/F Pbcom Tower, 6795 Ayala Avenue, Ayala Center, Makati City, Metro Manila"
Frt Travel And Tours,mrfocus26@yahoo.com,+63 (32) 414 5832,"2/F Labangon Public Market, Katipunan Street, Labangon, Cebu City 6000 Cebu"
Nautica Tours And Travel Services,nauticatours@yahoo.com,+63 (32) 255 3507,"Unit 144, G/F Rainterr Mall, Mango Avenue, Cebu City 6000 Cebu"
Diplomat Hotel,diplomathotel@yahoo.com,+63 (32) 253 0099,"90 F. Ramos Street, Cebu City 6000 Cebu"
Rajah Tours Philippines,sales@rajahtours.com.ph,+63 (2) 8 522 0541,"Suite 801 Maria Natividad Building, 470 T.M. Kalaw corner Cortada Streets, City of Manila, Metro Manila"
Pacific Discovery Travel And Tours,pdtmnl001@yahoo.co.jp,+63 (2) 8 831 5301,"Room 702 Marbella I Building, 2223 Roxas Boulevard, Pasay City, Metro Manila"
Grand Holidays Travel & Tours,grandholidays_ortigas@yahoo.com,+63 (2) 8 687 8787,"G/F Emerald Building, Emerald Avenue, Ortigas Center, Pasig City, Metro Manila"
Globemate,globemateadams@gmail.com,+63 (32) 232 2099,"Arch Reyes Avenue, Cebu City 6000 Cebu"
Adventure International Tours,emily.nacario@travelnow.ph,+63 (32) 232 2970,"11/F Apple One Equicom Tower, Mindanao Avenue corner Biliran Road, Cebu Business Park, Cebu City 6000 Cebu"
Marist Royal Holidays,maristholidays@yahoo.com,+63 (2) 8 233 9772,"2 Larros Building, 5 Gorordo Avenue, Camputhan, Cebu City 6000 Cebu"
Smartway Travel and Tours Services,mark.villamor@smartwaytravelcebu.com,+63 (917) 155 7202,"5/F 508C Kepwealth Center, Samar Loop, Cebu Business Park, Cebu City 6000 Cebu"
Cebu Tours,info@cebutours.ph,+63 (32) 514 0924,"178 Sanciangko Street, Cebu City 6000 Cebu"
Bigstart Travel And Visa Assistance,bigstartgroup@yahoo.com,+63 (32) 402 4942,"Avenir Building Unit 10B Archbishop Reyes Avenue,  Lahug Archbishop Reyes Avenue,, Cebu City 6000 Cebu"
Business Box,dbox_atc@mozcom.com,+63 (2) 8 807 1982,"S-9 Alabang Town Center, S-9 Servicetown, Ayala Center Alabang , Muntinlupa City, Metro Manila"
