name,email,phone,address
Good Travel And Tour Specialist,chandapanares@yahoo.com,+63 (32) 406 8836,"17 Pres. Roxas Street, Mabolo, Cebu City 6000 Cebu"
Wise,info@wiservices-inc.com,+63 (32) 414 2808,"4/F Avon Plaza, Osmena Boulevard, Phase 2, Cebu City 6000 Cebu"
Mrb Travel And Tours,info@mrbtravel.com,+63 (32) 254 8419,"Unit 211 Eustaquio Building, Osmeña Boulevard, Cebu City 6000 Cebu"
Westlink Travel & Tours,reservation.westlinktravel@gmail.com,+63 (32) 505 3927,"Juana Osmeña Street, Cebu City 6000 Cebu"
Travelite Travel And Tours Company,tim.tio@travelitecebu.com,+63 (2) (032) 255 3264,"2/F, One Mango Avenue corner General Maxilom Avenue, Cebu City 6000 Cebu"
Blue Water Panglao,alice.uypuanco@bluewater.com.ph,+63 (32) 412 2436,"CRM Building, Escaio Corner Molave Streets, Cebu City 6000 Cebu"
Cebu Trip Tours,cebutrip2000@yahoo.com,+63 (917) 320 5688,"2/F The Persimon Plus Building, M.J. Cuenco Avenue, Cebu City 6000 Cebu"
Destination Specialists,info@destinationcebu.com,+63 (32) 232 2454,"C174 UG/F SM City Cebu, North Reclamation Area, Cebu City 6000 Cebu"
Travel Saver Philippines,support@travelsaver.com.ph,+63 (2) 8 521 3581,"2/F TSPI, 606 Pedro Gil Street, Ermita, City of Manila, Metro Manila"
Grand Hope Travel,grandhopesm@amadeusph.com,+63 (32) 233 8530,"Lower Ground Floor SM City North, Reclamation Area, Cebu City 6000 Cebu"
