name,email,phone,address
P.E.T Mechanical and Electrical Services,petairconelectricalservices@gmail.com,+63 (915) 997 0612,"Timpolok, Babag, Lapu-Lapu City, Cebu"
P S Q Divers,psq@skyinet.net,,"Lapu-Lapu City, Cebu"
Opulent Aviation Air,opulent_aviation@yahoo.com,,"Hangar#7 Gen. Aviation Area, Mciaa, Airport Rd., Pajac, Lapu-Lapu City, Cebu"
"Ophirian Technologies, OPC",projects@ophirian.tech,+63 (923) 931 3577,"Lot 15 Block 7 Basak, DECA Homes 3, Lapu-Lapu City, Cebu"
Okiberry Ventures,sales@okiberry.com,,"Fuentes Road, Lapu-Lapu City, Cebu"
Manny O. Wines,inquiry@mannyowines.com,,"Movenpick Resort and Spa Cebu, Punta Engano, Mactan Island, Lapu-Lapu City, Cebu"
Nulusan Island Resort And Marine Sanctuary,info@nalusuan-island.com,,"Olango Reef, Mactan, Lapu-Lapu City, Cebu"
Nalrene Trucking Services,enerlan.j@yahoo.com,+63 (906) 367 3174,"Mahayahay, Lapu-Lapu City 6015 Cebu"
Mts Car Rental,atmondz@gmail.com,+63 (998) 544 5782,"9 Block, Timpolok, Babag, Lapu-Lapu City, Cebu"
Movenpick Hotel,hotel.cebu@moevenpick.com,,"Punta Engano, Mactan Island, Lapu-Lapu City 6015 Cebu"
Most Reliable Metal Industries,mr.indcorp@yahoo.com,+63 (917) 301 2331,"MR Building, Mactan Circumferential Road, Barangay Mactan, Lapu-Lapu City, Cebu"
Mojo Island,mojoislanddesign@yahoo.com,,"Sak 1, Mactan Island, Lapu-Lapu City, Cebu"
Metrobank - Atm,customercare@metrobank.com.ph,,"N.G.A. Development Corporation Building, Basac, Lapu-Lapu City, Cebu"
